address	size	kind	unit	name
0x100009e8c	3820	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController ovumDropped:inView:atLocation:]
0x10000ad78	124	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController refresh:]
0x10000adf4	116	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController handleItemTap:]
0x10000ae68	548	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController openDescriptionForItemWithName:]
0x10000b08c	196	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController openDescriptionForItemAtIndex:]
0x10000b150	300	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController dealloc]
0x10000b27c	176	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController slotOneTapped:]
0x10000b32c	176	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController slotTwoTapped:]
0x10000b3dc	176	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController slotThreeTapped:]
0x10000b48c	16	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController weaponScroller]
0x10000b49c	56	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setWeaponScroller:]
0x10000b4d4	16	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController loadoutInfoTextView]
0x10000b4e4	56	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setLoadoutInfoTextView:]
0x10000b51c	32	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController armoryViewController]
0x10000b53c	20	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setArmoryViewController:]
0x10000b550	60	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController scrollOffset]
0x10000b58c	60	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setScrollOffset:]
0x10000b5c8	16	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController weaponSlot1]
0x10000b5d8	56	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setWeaponSlot1:]
0x10000b610	16	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController weaponSlot2]
0x10000b620	56	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setWeaponSlot2:]
0x10000b658	16	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController meleeSlot]
0x10000b668	56	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setMeleeSlot:]
0x10000b6a0	16	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController weaponScrollViewController]
0x10000b6b0	12	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController setWeaponScrollViewController:]
0x10000b6bc	160	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController .cxx_destruct]
0x10000b75c	4	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController .cxx_construct]
0x10000b760	16	sub	ADArmoryLoadoutViewController	sub_10000b760
0x10000b770	1036	objc	ADPasserBy	-[ADPasserBy update:]
0x10000bb7c	948	objc	ADPasserBy	-[ADPasserBy setPositionFromDictionary:]
0x10000bf30	172	objc	ADPasserBy	-[ADPasserBy setRandomPositionAtDistance:]
0x10000bfdc	128	objc	ADPasserBy	-[ADPasserBy setRandomPosition]
0x10000c05c	72	objc	ADPasserBy	-[ADPasserBy passBy]
0x10000c0a4	8	objc	ADPasserBy	-[ADPasserBy getType]
0x10000c0ac	152	objc	ADInventory	+[ADInventory sharedInventory]
0x10000c144	128	objc	ADInventory	-[ADInventory init]
0x10000c1c4	3480	objc	ADInventory	-[ADInventory createOrRestoreWeaponDictionary]
0x10000cf5c	1328	objc	ADInventory	-[ADInventory setupWeapons]
0x10000d48c	1120	objc	ADInventory	-[ADInventory setupPowerups]
0x10000d8ec	332	objc	ADInventory	-[ADInventory setWeaponSlot1:]
0x10000da38	332	objc	ADInventory	-[ADInventory setWeaponSlot2:]
0x10000db84	444	objc	ADInventory	-[ADInventory isWeaponEquipped:]
0x10000dd40	332	objc	ADInventory	-[ADInventory setWeaponSlotMelee:]
0x10000de8c	332	objc	ADInventory	-[ADInventory setPowerUpSlot:]
0x10000dfd8	252	objc	ADInventory	-[ADInventory setCoins:]
0x10000e0d4	252	objc	ADInventory	-[ADInventory setDiamonds:]
0x10000e1d0	564	objc	ADInventory	-[ADInventory levelForWeaponWithName:]
0x10000e404	592	objc	ADInventory	-[ADInventory setLevel:forWeaponWithName:]
0x10000e654	564	objc	ADInventory	-[ADInventory levelForPowerUpWithName:]
0x10000e888	592	objc	ADInventory	-[ADInventory setLevel:forPowerUpWithName:]
0x10000ead8	564	objc	ADInventory	-[ADInventory quantityForPowerUpWithName:]
0x10000ed0c	592	objc	ADInventory	-[ADInventory setQuantity:ForPowerUpWithName:]
0x10000ef5c	568	objc	ADInventory	-[ADInventory hasUnlockedWeaponWithName:]
0x10000f194	420	objc	ADInventory	-[ADInventory getNumberOfWeaponsUnlocked]
0x10000f338	668	objc	ADInventory	-[ADInventory unlockWeaponWithName:]
0x10000f5d4	276	objc	ADInventory	-[ADInventory saveWeaponDictionary]
0x10000f6e8	16	objc	ADInventory	-[ADInventory coins]
0x10000f6f8	16	objc	ADInventory	-[ADInventory diamonds]
0x10000f708	16	objc	ADInventory	-[ADInventory weapons]
0x10000f718	56	objc	ADInventory	-[ADInventory setWeapons:]
0x10000f750	16	objc	ADInventory	-[ADInventory powerups]
0x10000f760	56	objc	ADInventory	-[ADInventory setPowerups:]
0x10000f798	32	objc	ADInventory	-[ADInventory weaponSlot1]
0x10000f7b8	32	objc	ADInventory	-[ADInventory weaponSlot2]
0x10000f7d8	32	objc	ADInventory	-[ADInventory weaponSlotMelee]
0x10000f7f8	32	objc	ADInventory	-[ADInventory powerUpSlot]
0x10000f818	128	objc	ADInventory	-[ADInventory .cxx_destruct]
0x10000f898	180	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController initWithDictionary:]
0x10000f94c	160	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController backButtonPressed]
0x10000f9ec	572	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController viewDidLoad]
0x10000fc28	1268	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController viewWillAppear:]
0x10001011c	312	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController initMissingChallenges]
0x100010254	2692	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController initMissingWeapons]
0x100010cd8	852	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController armoryButtonTouched:]
0x10001102c	624	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController showPurchaseConfirmation:]
0x10001129c	188	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController showWeaponInArmory:]
0x100011358	16	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController challengeDict]
0x100011368	56	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController setChallengeDict:]
0x1000113a0	16	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController missingWeaponsView]
0x1000113b0	56	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController setMissingWeaponsView:]
0x1000113e8	16	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController mainText]
0x1000113f8	56	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController setMainText:]
0x100011430	16	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController weaponIcon]
0x100011440	56	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController setWeaponIcon:]
0x100011478	16	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController armoryButton]
0x100011488	56	objc	ADChallengeLockedViewController	-[ADChallengeLockedViewController setArmoryButton:]
