path	duration_s	channels	sample_rate	in_playlists
sounds/announcer/announcer_reviveyes.m4a	1.741	2	44100	announcer
sounds/announcer/fireworks_announce_b.m4a	1.486	2	44100	announcer
sounds/announcer/minigun_announce_c.m4a	1.091	2	44100	announcer
sounds/announcer/tesla_announce_a.m4a	1.324	2	44100	announcer
sounds/announcer/tornado_announce_a.m4a	0.998	2	44100	announcer
sounds/challenges/maya_10_brick_1/bastard_zombie_shield_a.m4a	26.633	2	44100	maya_10_brick_1
sounds/challenges/maya_10_brick_2/bastard_maya_10_2.m4a	6.014	2	44100	maya_10_brick_2
sounds/challenges/maya_10_brick_3/bastard_maya_10_3.m4a	12.028	2	44100	maya_10_brick_3
sounds/challenges/maya_10_brick_4/bastard_maya_10_4.m4a	41.053	2	44100	maya_10_brick_4
sounds/challenges/maya_1_brick_1/bastard_ruins_intro.m4a	41.564	2	44100	maya_1_brick_1
sounds/challenges/maya_1_brick_3/bastard_maya_1_1.m4a	8.777	2	44100	maya_1_brick_3
sounds/challenges/maya_2_brick_1/bastard_passerby_storm_a.m4a	11.564	2	44100	maya_2_brick_1
sounds/challenges/maya_2_brick_3/bastard_maya_2_2.m4a	10.519	2	44100	maya_2_brick_3
sounds/challenges/maya_3_brick_1/bastard_zombie_horde_c.m4a	7.314	2	44100	maya_3_brick_1
sounds/challenges/maya_3_brick_3/bastard_maya_3_1.m4a	7.779	2	44100	maya_3_brick_3
sounds/challenges/maya_3_brick_5/bastard_maya_3_2.m4a	6.757	2	44100	maya_3_brick_5
sounds/challenges/maya_4_brick_1/bastard_passerby_cows_a.m4a	12.446	2	44100	maya_4_brick_1
sounds/challenges/maya_4_brick_3/bastard_maya_4_2.m4a	7.384	2	44100	maya_4_brick_3
sounds/challenges/maya_5_brick_1/bastard_zombie_whisperer_a.m4a	23.382	2	44100	maya_5_brick_1
sounds/challenges/maya_5_brick_2/bastard_maya_5_2.m4a	10.403	2	44100	maya_5_brick_2
sounds/challenges/maya_5_brick_4/bastard_maya_5_3.m4a	17.694	2	44100	maya_5_brick_4
sounds/challenges/maya_5_brick_5/bastard_maya_5_4.m4a	17.276	2	44100	maya_5_brick_5
sounds/challenges/maya_6_brick_1/bastard_maya_6_1.m4a	17.763	2	44100	maya_6_brick_1
sounds/challenges/maya_6_brick_3/bastard_maya_6_2.m4a	7.523	2	44100	maya_6_brick_3
sounds/challenges/maya_6_brick_4/bastard_maya_6_3.m4a	8.522	2	44100	maya_6_brick_4
sounds/challenges/maya_7_brick_1/bastard_maya_7_1.m4a	21.548	2	44100	maya_7_brick_1
sounds/challenges/maya_7_brick_4/bastard_maya_7_2.m4a	9.520	2	44100	maya_7_brick_4
sounds/challenges/maya_8_brick_1/bastard_zombie_berserk_a.m4a	29.884	2	44100	maya_8_brick_1
sounds/challenges/maya_8_brick_2/bastard_maya_8_2.m4a	10.565	2	44100	maya_8_brick_2
sounds/challenges/maya_8_brick_3/bastard_maya_8_3.m4a	9.056	2	44100	maya_8_brick_3
sounds/challenges/maya_8_brick_4/bastard_maya_8_4.m4a	20.271	2	44100	maya_8_brick_4
sounds/challenges/maya_9_brick_1/bastard_maya_9_1.m4a	20.643	2	44100	maya_9_brick_1
sounds/challenges/maya_9_brick_3/bastard_maya_9_2.m4a	9.311	2	44100	maya_9_brick_3
sounds/challenges/tutorial_10_brick_1/bastard_tutorial_10_1.m4a	32.067	2	44100	tutorial_10_brick_1
sounds/challenges/tutorial_10_brick_2/bastard_tutorial_10_2.m4a	5.503	2	44100	tutorial_10_brick_2
sounds/challenges/tutorial_10_brick_4/bastard_tutorial_10_3.m4a	16.811	2	44100	tutorial_10_brick_4
sounds/challenges/tutorial_10_brick_5/bastard_tutorial_10_4.m4a	37.059	2	44100	tutorial_10_brick_5
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_aim_gyroMode.m4a	3.019	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_aim_swipeMode.m4a	4.087	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_aim_tiltMode.m4a	4.249	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_aimhelp.m4a	6.548	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_aimprompt.m4a	5.062	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_shoot_buttonMode.m4a	8.800	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/announcer_tutorial_shoot_gestureMode.m4a	8.313	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/bastard_tutorial_1_1.m4a	53.986	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/bastard_tutorial_1_2.m4a	29.396	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/tutorial_1_bird_1_SPA.m4a	11.587	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/tutorial_1_bird_2_SPA.m4a	8.011	1	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/tutorial_1_dog_SPA.m4a	15.209	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_1/tutorial_fireball.m4a	6.223	2	44100	tutorial_1_brick_1
sounds/challenges/tutorial_1_brick_2/announcer_tutorial_reload_buttonMode.m4a	4.226	2	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/announcer_tutorial_reload_gestureMode.m4a	4.319	2	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/bastard_tutorial_1_4.m4a	27.283	2	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/bastard_tutorial_1_5.m4a	15.790	2	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/bastard_tutorial_1_6.m4a	33.692	2	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/tutorial_1_cracker_SPA.m4a	2.879	1	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/tutorial_1_lion_SPA.m4a	4.714	1	44100	tutorial_1_brick_2
sounds/challenges/tutorial_1_brick_2/tutorial_1_tiger_SPA.m4a	3.994	1	44100	tutorial_1_brick_2
sounds/challenges/tutorial_2_brick_1/announcer_tutorial_changeControl.m4a	7.059	2	44100	tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_1/announcer_tutorial_switch_buttonMode.m4a	4.714	2	44100	tutorial_2_1,tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_1/announcer_tutorial_switch_gestureMode.m4a	4.319	2	44100	tutorial_2_1,tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_1/bastard_tutorial_2_1.m4a	13.816	2	44100	tutorial_2_1,tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_1/bastard_tutorial_2_2.m4a	27.028	2	44100	tutorial_2_1,tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_1/silence.m4a	0.557	2	44100	tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_1/tutorial_elephant_SPA.m4a	4.110	1	44100	tutorial_2_brick_1
sounds/challenges/tutorial_2_brick_2/bastard_tutorial_2_3.m4a	19.319	2	44100	tutorial_2_brick_2
sounds/challenges/tutorial_2_brick_3/bastard_tutorial_2_4.m4a	10.820	2	44100	tutorial_2_brick_3
sounds/challenges/tutorial_3_brick_1/announcer_tutorial_melee_buttonMode.m4a	6.107	2	44100	tutorial_3_brick_1
sounds/challenges/tutorial_3_brick_1/announcer_tutorial_melee_gestureMode.m4a	4.853	2	44100	tutorial_3_brick_1
sounds/challenges/tutorial_3_brick_1/announcer_tutorial_skip.m4a	4.342	2	44100	tutorial_3_brick_1
sounds/challenges/tutorial_3_brick_1/bastard_tutorial_3_1.m4a	29.304	2	44100	tutorial_3_brick_1
sounds/challenges/tutorial_3_brick_1/bastard_tutorial_3_2.m4a	28.444	2	44100	tutorial_3_brick_1
sounds/challenges/tutorial_3_brick_1/silence.m4a	0.557	2	44100	tutorial_3_brick_1
sounds/challenges/tutorial_3_brick_2/bastard_tutorial_3_3.m4a	33.553	2	44100	tutorial_3_brick_2
sounds/challenges/tutorial_3_brick_2/bastard_tutorial_3_4.m4a	9.567	2	44100	tutorial_3_brick_2
sounds/challenges/tutorial_4_brick_1/bastard_tutorial_4_1.m4a	32.322	2	44100	tutorial_4_brick_1
sounds/challenges/tutorial_4_brick_3/bastard_tutorial_4_2.m4a	19.551	2	44100	tutorial_4_brick_3
sounds/challenges/tutorial_4_brick_5/bastard_tutorial_4_4.m4a	15.070	2	44100	tutorial_4_brick_5
sounds/challenges/tutorial_5_brick_1/bastard_tutorial_5_1.m4a	26.053	2	44100	tutorial_5_brick_1
sounds/challenges/tutorial_5_brick_2/bastard_tutorial_5_2.m4a	27.051	2	44100	tutorial_5_brick_2
sounds/challenges/tutorial_5_brick_3/bastard_tutorial_5_3.m4a	28.050	2	44100	tutorial_5_brick_3
sounds/challenges/tutorial_5_brick_4/bastard_tutorial_5_4.m4a	41.564	2	44100	tutorial_5_brick_4
sounds/challenges/tutorial_6_brick_1/bastard_tutorial_6_1.m4a	21.804	2	44100	tutorial_6_brick_1
sounds/challenges/tutorial_6_brick_3/bastard_tutorial_6_2.m4a	13.189	2	44100	tutorial_6_brick_3
sounds/challenges/tutorial_6_brick_4/bastard_tutorial_6_3.m4a	25.054	2	44100	tutorial_6_brick_4
sounds/challenges/tutorial_7_brick_1/bastard_tutorial_7_1.m4a	27.051	2	44100	tutorial_7_brick_1
sounds/challenges/tutorial_7_brick_1/bastard_tutorial_7_2.m4a	18.204	2	44100	tutorial_7_brick_1
sounds/challenges/tutorial_7_brick_1/bastard_tutorial_7_3.m4a	18.321	2	44100	tutorial_7_brick_1
sounds/challenges/tutorial_7_brick_4/bastard_tutorial_7_4.m4a	2.647	2	44100	tutorial_7_brick_4
sounds/challenges/tutorial_8_brick_1/bastard_tutorial_8_1.m4a	28.561	2	44100	tutorial_8_brick_1
sounds/challenges/tutorial_8_brick_4/bastard_tutorial_8_2.m4a	12.817	2	44100	tutorial_8_brick_3
sounds/challenges/tutorial_9_brick_1/bastard_tutorial_9_1.m4a	18.553	2	44100	tutorial_9_brick_1
sounds/challenges/tutorial_9_brick_4/bastard_tutorial_9_2.m4a	14.303	2	44100	tutorial_9_brick_4
